# Generated by go test ./internal/textobj/ -run TestVimTable -update
# from VIM - Vi IMproved 9.2 (2026 Feb 14, compiled Apr 08 2026 05:28:52), Included patches: 1-321, one row per run of cursor columns that answer alike.
# fixture	object	line	columns (1-based)	span: - none, V first-last, c line,col-line,col (0-based, half-open)
words.txt	i)	7	1-4	-
words.txt	i)	7	6-7	-
words.txt	i)	7	9-17	-
words.txt	i)	7	19-21	-
words.txt	i)	8	1-9	-
words.txt	ib	1	1-16	-
words.txt	ib	2	1-13	-
words.txt	ib	3	1-9	-
words.txt	ib	4	1	-
words.txt	ib	5	1-11	-
words.txt	ib	6	1-3	-
words.txt	ib	7	1-4	-
words.txt	ib	7	6-7	-
words.txt	ib	7	9-17	-
words.txt	ib	7	19-21	-
words.txt	ib	8	1-9	-
words.txt	i{	1	1-16	-
words.txt	i{	2	1-13	-
words.txt	i{	3	1-9	-
words.txt	i{	4	1	-
words.txt	i{	5	1-11	-
words.txt	i{	6	1-3	-
words.txt	i{	7	1-4	-
words.txt	i{	7	6-7	-
words.txt	i{	7	9-17	-
words.txt	i{	7	19-21	-
words.txt	i{	8	1-9	-
words.txt	i}	1	1-16	-
words.txt	i}	2	1-13	-
words.txt	i}	3	1-9	-
words.txt	i}	4	1	-
words.txt	i}	5	1-11	-
words.txt	i}	6	1-3	-
words.txt	i}	7	1-4	-
words.txt	i}	7	6-7	-
words.txt	i}	7	9-17	-
words.txt	i}	7	19-21	-
words.txt	i}	8	1-9	-
words.txt	iB	1	1-16	-
words.txt	iB	2	1-13	-
words.txt	iB	3	1-9	-
words.txt	iB	4	1	-
words.txt	iB	5	1-11	-
words.txt	iB	6	1-3	-
words.txt	iB	7	1-4	-
words.txt	iB	7	6-7	-
words.txt	iB	7	9-17	-
words.txt	iB	7	19-21	-
words.txt	iB	8	1-9	-
words.txt	i[	1	1-16	-
words.txt	i[	2	1-13	-
words.txt	i[	3	1-9	-
words.txt	i[	4	1	-
words.txt	i[	5	1-11	-
words.txt	i[	6	1-3	-
words.txt	i[	7	1-4	-
words.txt	i[	7	6-7	-
words.txt	i[	7	9-17	-
words.txt	i[	7	19-21	-
words.txt	i[	8	1-9	-
words.txt	i]	1	1-16	-
words.txt	i]	2	1-13	-
words.txt	i]	3	1-9	-
words.txt	i]	4	1	-
words.txt	i]	5	1-11	-
words.txt	i]	6	1-3	-
words.txt	i]	7	1-4	-
words.txt	i]	7	6-7	-
words.txt	i]	7	9-17	-
words.txt	i]	7	19-21	-
words.txt	i]	8	1-9	-
words.txt	i<	1	1-16	-
words.txt	i<	2	1-13	-
words.txt	i<	3	1-9	-
words.txt	i<	4	1	-
words.txt	i<	5	1-11	-
words.txt	i<	6	1-3	-
words.txt	i<	7	1-4	-
words.txt	i<	7	6-7	-
words.txt	i<	7	9-17	-
words.txt	i<	7	19-21	-
words.txt	i<	8	1-9	-
words.txt	i>	1	1-16	-
words.txt	i>	2	1-13	-
words.txt	i>	3	1-9	-
words.txt	i>	4	1	-
words.txt	i>	5	1-11	-
words.txt	i>	6	1-3	-
words.txt	i>	7	1-4	-
words.txt	i>	7	6-7	-
words.txt	i>	7	9-17	-
words.txt	i>	7	19-21	-
words.txt	i>	8	1-9	-
words.txt	i"	1	1-16	-
words.txt	i"	2	1-13	-
words.txt	i"	3	1-9	-
words.txt	i"	4	1	-
words.txt	i"	5	1-11	-
words.txt	i"	6	1-3	-
words.txt	i"	7	1-4	-
words.txt	i"	7	6-7	-
words.txt	i"	7	9-17	-
words.txt	i"	7	19-21	-
words.txt	i"	8	1-9	-
words.txt	i'	1	1-16	-
words.txt	i'	2	1-13	-
words.txt	i'	3	1-9	-
words.txt	i'	4	1	-
words.txt	i'	5	1-11	-
words.txt	i'	6	1-3	-
words.txt	i'	7	1-4	-
words.txt	i'	7	6-7	-
words.txt	i'	7	9-17	-
words.txt	i'	7	19-21	-
words.txt	i'	8	1-9	-
words.txt	i`	1	1-16	-
words.txt	i`	2	1-13	-
words.txt	i`	3	1-9	-
words.txt	i`	4	1	-
words.txt	i`	5	1-11	-
words.txt	i`	6	1-3	-
words.txt	i`	7	1-4	-
words.txt	i`	7	6-7	-
words.txt	i`	7	9-17	-
words.txt	i`	7	19-21	-
words.txt	i`	8	1-9	-
words.txt	it	1	1-16	-
words.txt	it	2	1-13	-
words.txt	it	3	1-9	-
words.txt	it	4	1	-
words.txt	it	5	1-11	-
words.txt	it	6	1-3	-
words.txt	it	7	1-4	-
words.txt	it	7	6-7	-
words.txt	it	7	9-17	-
words.txt	it	7	19-21	-
words.txt	it	8	1-9	-
words.txt	aw	1	1-5	c 1,0-1,6
words.txt	aw	1	6	c 1,5-1,11
words.txt	aw	1	7-11	c 1,6-1,13
words.txt	aw	1	12-16	c 1,11-1,16
words.txt	aw	2	1-2	c 2,0-2,5
words.txt	aw	2	3-5	c 2,2-2,5
words.txt	aw	2	6	c 2,5-2,6
words.txt	aw	2	7-9	c 2,6-2,9
words.txt	aw	2	10	c 2,9-2,10
words.txt	aw	2	11-13	c 2,10-2,13
words.txt	aw	3	1	c 3,0-3,4
words.txt	aw	3	2-4	c 3,1-3,5
words.txt	aw	3	5-9	c 3,4-3,9
words.txt	aw	4	1	c 4,0-5,8
words.txt	aw	5	1-8	c 5,0-5,11
words.txt	aw	5	9-11	c 5,8-6,3
words.txt	aw	6	1-3	c 6,0-6,3
words.txt	aw	7	1-4	c 7,0-7,6
words.txt	aw	7	6-7	c 7,5-7,11
words.txt	aw	7	9-11	c 7,5-7,11
words.txt	aw	7	12	c 7,11-7,12
words.txt	aw	7	13-17	c 7,12-7,20
words.txt	aw	7	19	c 7,12-7,20
words.txt	aw	7	20-21	c 7,19-7,21
words.txt	aw	8	1	c 8,0-8,1
words.txt	aw	8	2	c 8,1-8,2
words.txt	aw	8	3	c 8,2-8,3
words.txt	aw	8	4-5	c 8,3-8,5
words.txt	aw	8	6	c 8,5-8,8
words.txt	aw	8	7-9	c 8,6-8,9
words.txt	aW	1	1-5	c 1,0-1,6
words.txt	aW	1	6	c 1,5-1,11
words.txt	aW	1	7-11	c 1,6-1,13
words.txt	aW	1	12-16	c 1,11-1,16
words.txt	aW	2	1-2	c 2,0-2,13
words.txt	aW	2	3-13	c 2,2-2,13
words.txt	aW	3	1	c 3,0-3,4
words.txt	aW	3	2-4	c 3,1-3,5
words.txt	aW	3	5-9	c 3,4-3,9
words.txt	aW	4	1	c 4,0-5,8
words.txt	aW	5	1-8	c 5,0-5,11
words.txt	aW	5	9-11	c 5,8-6,3
words.txt	aW	6	1-3	c 6,0-6,3
words.txt	aW	7	1-4	c 7,0-7,6
words.txt	aW	7	6	c 7,5-7,19
words.txt	aW	7	7	c 7,6-7,20
words.txt	aW	7	9-17	c 7,6-7,20
words.txt	aW	7	19	c 7,6-7,20
words.txt	aW	7	20-21	c 7,19-7,21
words.txt	aW	8	1-6	c 8,0-8,8
words.txt	aW	8	7-9	c 8,6-8,9
words.txt	as	1	1-16	V 1-3
words.txt	as	2	1-13	V 1-3
words.txt	as	3	1-9	V 1-3
words.txt	as	4	1	V 4-4
words.txt	as	5	1-11	c 5,0-8,9
words.txt	as	6	1-3	c 5,0-8,9
words.txt	as	7	1-4	c 5,0-8,9
words.txt	as	7	6-7	c 5,0-8,9
words.txt	as	7	9-17	c 5,0-8,9
words.txt	as	7	19-21	c 5,0-8,9
words.txt	as	8	1-9	c 5,0-8,9
words.txt	ap	1	1-16	V 1-4
words.txt	ap	2	1-13	V 1-4
words.txt	ap	3	1-9	V 1-4
words.txt	ap	4	1	V 4-8
words.txt	ap	5	1-11	V 4-8
words.txt	ap	6	1-3	V 4-8
words.txt	ap	7	1-4	V 4-8
words.txt	ap	7	6-7	V 4-8
words.txt	ap	7	9-17	V 4-8
words.txt	ap	7	19-21	V 4-8
words.txt	ap	8	1-9	V 4-8
words.txt	a(	1	1-16	-
words.txt	a(	2	1-13	-
words.txt	a(	3	1-9	-
words.txt	a(	4	1	-
words.txt	a(	5	1-11	-
words.txt	a(	6	1-3	-
words.txt	a(	7	1-4	-
words.txt	a(	7	6-7	-
words.txt	a(	7	9-17	-
words.txt	a(	7	19-21	-
words.txt	a(	8	1-9	-
words.txt	a)	1	1-16	-
words.txt	a)	2	1-13	-
words.txt	a)	3	1-9	-
words.txt	a)	4	1	-
words.txt	a)	5	1-11	-
words.txt	a)	6	1-3	-
words.txt	a)	7	1-4	-
words.txt	a)	7	6-7	-
words.txt	a)	7	9-17	-
words.txt	a)	7	19-21	-
words.txt	a)	8	1-9	-
words.txt	ab	1	1-16	-
words.txt	ab	2	1-13	-
words.txt	ab	3	1-9	-
words.txt	ab	4	1	-
words.txt	ab	5	1-11	-
words.txt	ab	6	1-3	-
words.txt	ab	7	1-4	-
words.txt	ab	7	6-7	-
words.txt	ab	7	9-17	-
words.txt	ab	7	19-21	-
words.txt	ab	8	1-9	-
words.txt	a{	1	1-16	-
words.txt	a{	2	1-13	-
words.txt	a{	3	1-9	-
words.txt	a{	4	1	-
words.txt	a{	5	1-11	-
words.txt	a{	6	1-3	-
words.txt	a{	7	1-4	-
words.txt	a{	7	6-7	-
words.txt	a{	7	9-17	-
words.txt	a{	7	19-21	-
words.txt	a{	8	1-9	-
words.txt	a}	1	1-16	-
words.txt	a}	2	1-13	-
words.txt	a}	3	1-9	-
words.txt	a}	4	1	-
words.txt	a}	5	1-11	-
words.txt	a}	6	1-3	-
words.txt	a}	7	1-4	-
words.txt	a}	7	6-7	-
words.txt	a}	7	9-17	-
words.txt	a}	7	19-21	-
words.txt	a}	8	1-9	-
words.txt	aB	1	1-16	-
words.txt	aB	2	1-13	-
words.txt	aB	3	1-9	-
words.txt	aB	4	1	-
words.txt	aB	5	1-11	-
words.txt	aB	6	1-3	-
words.txt	aB	7	1-4	-
words.txt	aB	7	6-7	-
words.txt	aB	7	9-17	-
words.txt	aB	7	19-21	-
words.txt	aB	8	1-9	-
words.txt	a[	1	1-16	-
words.txt	a[	2	1-13	-
words.txt	a[	3	1-9	-
words.txt	a[	4	1	-
words.txt	a[	5	1-11	-
words.txt	a[	6	1-3	-
words.txt	a[	7	1-4	-
words.txt	a[	7	6-7	-
words.txt	a[	7	9-17	-
words.txt	a[	7	19-21	-
words.txt	a[	8	1-9	-
words.txt	a]	1	1-16	-
words.txt	a]	2	1-13	-
words.txt	a]	3	1-9	-
words.txt	a]	4	1	-
words.txt	a]	5	1-11	-
words.txt	a]	6	1-3	-
words.txt	a]	7	1-4	-
words.txt	a]	7	6-7	-
words.txt	a]	7	9-17	-
words.txt	a]	7	19-21	-
words.txt	a]	8	1-9	-
words.txt	a<	1	1-16	-
words.txt	a<	2	1-13	-
words.txt	a<	3	1-9	-
words.txt	a<	4	1	-
words.txt	a<	5	1-11	-
words.txt	a<	6	1-3	-
words.txt	a<	7	1-4	-
words.txt	a<	7	6-7	-
words.txt	a<	7	9-17	-
words.txt	a<	7	19-21	-
words.txt	a<	8	1-9	-
words.txt	a>	1	1-16	-
words.txt	a>	2	1-13	-
words.txt	a>	3	1-9	-
words.txt	a>	4	1	-
words.txt	a>	5	1-11	-
words.txt	a>	6	1-3	-
words.txt	a>	7	1-4	-
words.txt	a>	7	6-7	-
words.txt	a>	7	9-17	-
words.txt	a>	7	19-21	-
words.txt	a>	8	1-9	-
words.txt	a"	1	1-16	-
words.txt	a"	2	1-13	-
words.txt	a"	3	1-9	-
words.txt	a"	4	1	-
words.txt	a"	5	1-11	-
words.txt	a"	6	1-3	-
words.txt	a"	7	1-4	-
words.txt	a"	7	6-7	-
words.txt	a"	7	9-17	-
words.txt	a"	7	19-21	-
words.txt	a"	8	1-9	-
words.txt	a'	1	1-16	-
words.txt	a'	2	1-13	-
words.txt	a'	3	1-9	-
words.txt	a'	4	1	-
words.txt	a'	5	1-11	-
words.txt	a'	6	1-3	-
words.txt	a'	7	1-4	-
words.txt	a'	7	6-7	-
words.txt	a'	7	9-17	-
words.txt	a'	7	19-21	-
words.txt	a'	8	1-9	-
words.txt	a`	1	1-16	-
words.txt	a`	2	1-13	-
words.txt	a`	3	1-9	-
words.txt	a`	4	1	-
words.txt	a`	5	1-11	-
words.txt	a`	6	1-3	-
words.txt	a`	7	1-4	-
words.txt	a`	7	6-7	-
words.txt	a`	7	9-17	-
words.txt	a`	7	19-21	-
words.txt	a`	8	1-9	-
words.txt	at	1	1-16	-
words.txt	at	2	1-13	-
words.txt	at	3	1-9	-
words.txt	at	4	1	-
words.txt	at	5	1-11	-
words.txt	at	6	1-3	-
words.txt	at	7	1-4	-
words.txt	at	7	6-7	-
words.txt	at	7	9-17	-
words.txt	at	7	19-21	-
words.txt	at	8	1-9	-
words.txt	2iw	1	1-5	c 1,0-1,6
words.txt	2iw	1	6	c 1,5-1,11
words.txt	2iw	1	7-11	c 1,6-1,13
words.txt	2iw	1	12-13	c 1,11-1,16
words.txt	2iw	1	14-16	c 1,13-2,2
words.txt	2iw	2	1-2	c 2,0-2,5
words.txt	2iw	2	3-5	c 2,2-2,6
words.txt	2iw	2	6	c 2,5-2,9
words.txt	2iw	2	7-9	c 2,6-2,10
words.txt	2iw	2	10	c 2,9-2,13
words.txt	2iw	2	11-13	c 2,10-3,1
words.txt	2iw	3	1	c 3,0-3,4
words.txt	2iw	3	2-4	c 3,1-3,5
words.txt	2iw	3	5	c 3,4-3,9
words.txt	2iw	3	6-9	c 3,5-4,0
words.txt	2iw	4	1	c 4,0-5,8
words.txt	2iw	5	1-8	c 5,0-5,11
words.txt	2iw	5	9-11	c 5,8-6,3
words.txt	2iw	6	1-3	c 6,0-7,5
words.txt	2iw	7	1-4	c 7,0-7,6
words.txt	2iw	7	6	c 7,5-7,11
words.txt	2iw	7	7	c 7,6-7,12
words.txt	2iw	7	9-11	c 7,6-7,12
words.txt	2iw	7	12	c 7,11-7,19
words.txt	2iw	7	13-17	c 7,12-7,20
words.txt	2iw	7	19	c 7,12-7,20
words.txt	2iw	7	20	c 7,19-7,21
words.txt	2iw	7	21	c 7,20-8,1
words.txt	2iw	8	1	c 8,0-8,2
words.txt	2iw	8	2	c 8,1-8,3
words.txt	2iw	8	3	c 8,2-8,5
words.txt	2iw	8	4-5	c 8,3-8,6
words.txt	2iw	8	6	c 8,5-8,8
words.txt	2iw	8	7-8	c 8,6-8,9
words.txt	2iw	8	9	-
words.txt	2iW	1	1-5	c 1,0-1,6
words.txt	2iW	1	6	c 1,5-1,11
words.txt	2iW	1	7-11	c 1,6-1,13
words.txt	2iW	1	12-13	c 1,11-1,16
words.txt	2iW	1	14-16	c 1,13-2,2
words.txt	2iW	2	1-2	c 2,0-2,13
words.txt	2iW	2	3-13	c 2,2-3,1
words.txt	2iW	3	1	c 3,0-3,4
words.txt	2iW	3	2-4	c 3,1-3,5
words.txt	2iW	3	5	c 3,4-3,9
words.txt	2iW	3	6-9	c 3,5-4,0
words.txt	2iW	4	1	c 4,0-5,8
words.txt	2iW	5	1-8	c 5,0-5,11
words.txt	2iW	5	9-11	c 5,8-6,3
words.txt	2iW	6	1-3	c 6,0-7,5
words.txt	2iW	7	1-4	c 7,0-7,6
words.txt	2iW	7	6	c 7,5-7,19
words.txt	2iW	7	7	c 7,6-7,20
words.txt	2iW	7	9-17	c 7,6-7,20
words.txt	2iW	7	19	c 7,6-7,20
words.txt	2iW	7	20	c 7,19-7,21
words.txt	2iW	7	21	c 7,20-8,6
words.txt	2iW	8	1-6	c 8,0-8,8
words.txt	2iW	8	7-8	c 8,6-8,9
words.txt	2iW	8	9	-
words.txt	2is	1	1-16	V 1-3
words.txt	2is	2	1-13	V 1-3
words.txt	2is	3	1-9	V 1-3
words.txt	2is	4	1	V 4-4
words.txt	2is	5	1-11	c 5,0-8,9
words.txt	2is	6	1-3	c 5,0-8,9
words.txt	2is	7	1-4	c 5,0-8,9
words.txt	2is	7	6-7	c 5,0-8,9
words.txt	2is	7	9-17	c 5,0-8,9
words.txt	2is	7	19-21	c 5,0-8,9
words.txt	2is	8	1-9	c 5,0-8,9
words.txt	2ip	1	1-16	V 1-4
words.txt	2ip	2	1-13	V 1-4
words.txt	2ip	3	1-9	V 1-4
words.txt	2ip	4	1	V 4-8
words.txt	2ip	5	1-11	-
words.txt	2ip	6	1-3	-
words.txt	2ip	7	1-4	-
words.txt	2ip	7	6-7	-
words.txt	2ip	7	9-17	-
words.txt	2ip	7	19-21	-
words.txt	2ip	8	1-9	-
words.txt	2i(	1	1-16	-
words.txt	2i(	2	1-13	-
words.txt	2i(	3	1-9	-
words.txt	2i(	4	1	-
words.txt	2i(	5	1-11	-
words.txt	2i(	6	1-3	-
words.txt	2i(	7	1-4	-
words.txt	2i(	7	6-7	-
words.txt	2i(	7	9-17	-
words.txt	2i(	7	19-21	-
words.txt	2i(	8	1-9	-
words.txt	2i)	1	1-16	-
words.txt	2i)	2	1-13	-
words.txt	2i)	3	1-9	-
words.txt	2i)	4	1	-
words.txt	2i)	5	1-11	-
words.txt	2i)	6	1-3	-
words.txt	2i)	7	1-4	-
words.txt	2i)	7	6-7	-
words.txt	2i)	7	9-17	-
words.txt	2i)	7	19-21	-
words.txt	2i)	8	1-9	-
words.txt	2ib	1	1-16	-
words.txt	2ib	2	1-13	-
words.txt	2ib	3	1-9	-
words.txt	2ib	4	1	-
words.txt	2ib	5	1-11	-
words.txt	2ib	6	1-3	-
words.txt	2ib	7	1-4	-
words.txt	2ib	7	6-7	-
words.txt	2ib	7	9-17	-
words.txt	2ib	7	19-21	-
words.txt	2ib	8	1-9	-
words.txt	2i{	1	1-16	-
words.txt	2i{	2	1-13	-
words.txt	2i{	3	1-9	-
words.txt	2i{	4	1	-
words.txt	2i{	5	1-11	-
words.txt	2i{	6	1-3	-
words.txt	2i{	7	1-4	-
words.txt	2i{	7	6-7	-
words.txt	2i{	7	9-17	-
words.txt	2i{	7	19-21	-
words.txt	2i{	8	1-9	-
words.txt	2i}	1	1-16	-
words.txt	2i}	2	1-13	-
words.txt	2i}	3	1-9	-
words.txt	2i}	4	1	-
words.txt	2i}	5	1-11	-
words.txt	2i}	6	1-3	-
words.txt	2i}	7	1-4	-
words.txt	2i}	7	6-7	-
words.txt	2i}	7	9-17	-
words.txt	2i}	7	19-21	-
words.txt	2i}	8	1-9	-
words.txt	2iB	1	1-16	-
words.txt	2iB	2	1-13	-
words.txt	2iB	3	1-9	-
words.txt	2iB	4	1	-
words.txt	2iB	5	1-11	-
words.txt	2iB	6	1-3	-
words.txt	2iB	7	1-4	-
words.txt	2iB	7	6-7	-
words.txt	2iB	7	9-17	-
words.txt	2iB	7	19-21	-
words.txt	2iB	8	1-9	-
words.txt	2i[	1	1-16	-
words.txt	2i[	2	1-13	-
words.txt	2i[	3	1-9	-
words.txt	2i[	4	1	-
words.txt	2i[	5	1-11	-
words.txt	2i[	6	1-3	-
words.txt	2i[	7	1-4	-
words.txt	2i[	7	6-7	-
words.txt	2i[	7	9-17	-
words.txt	2i[	7	19-21	-
words.txt	2i[	8	1-9	-
words.txt	2i]	1	1-16	-
words.txt	2i]	2	1-13	-
words.txt	2i]	3	1-9	-
words.txt	2i]	4	1	-
words.txt	2i]	5	1-11	-
words.txt	2i]	6	1-3	-
words.txt	2i]	7	1-4	-
words.txt	2i]	7	6-7	-
words.txt	2i]	7	9-17	-
words.txt	2i]	7	19-21	-
words.txt	2i]	8	1-9	-
words.txt	2i<	1	1-16	-
words.txt	2i<	2	1-13	-
words.txt	2i<	3	1-9	-
words.txt	2i<	4	1	-
words.txt	2i<	5	1-11	-
words.txt	2i<	6	1-3	-
words.txt	2i<	7	1-4	-
words.txt	2i<	7	6-7	-
words.txt	2i<	7	9-17	-
words.txt	2i<	7	19-21	-
words.txt	2i<	8	1-9	-
words.txt	2i>	1	1-16	-
words.txt	2i>	2	1-13	-
words.txt	2i>	3	1-9	-
words.txt	2i>	4	1	-
words.txt	2i>	5	1-11	-
words.txt	2i>	6	1-3	-
words.txt	2i>	7	1-4	-
words.txt	2i>	7	6-7	-
words.txt	2i>	7	9-17	-
words.txt	2i>	7	19-21	-
words.txt	2i>	8	1-9	-
words.txt	2i"	1	1-16	-
words.txt	2i"	2	1-13	-
words.txt	2i"	3	1-9	-
words.txt	2i"	4	1	-
words.txt	2i"	5	1-11	-
words.txt	2i"	6	1-3	-
words.txt	2i"	7	1-4	-
words.txt	2i"	7	6-7	-
words.txt	2i"	7	9-17	-
words.txt	2i"	7	19-21	-
words.txt	2i"	8	1-9	-
words.txt	2i'	1	1-16	-
words.txt	2i'	2	1-13	-
words.txt	2i'	3	1-9	-
words.txt	2i'	4	1	-
words.txt	2i'	5	1-11	-
words.txt	2i'	6	1-3	-
words.txt	2i'	7	1-4	-
words.txt	2i'	7	6-7	-
words.txt	2i'	7	9-17	-
words.txt	2i'	7	19-21	-
words.txt	2i'	8	1-9	-
words.txt	2i`	1	1-16	-
words.txt	2i`	2	1-13	-
words.txt	2i`	3	1-9	-
words.txt	2i`	4	1	-
words.txt	2i`	5	1-11	-
words.txt	2i`	6	1-3	-
words.txt	2i`	7	1-4	-
words.txt	2i`	7	6-7	-
words.txt	2i`	7	9-17	-
words.txt	2i`	7	19-21	-
words.txt	2i`	8	1-9	-
words.txt	2it	1	1-16	-
words.txt	2it	2	1-13	-
words.txt	2it	3	1-9	-
words.txt	2it	4	1	-
words.txt	2it	5	1-11	-
words.txt	2it	6	1-3	-
words.txt	2it	7	1-4	-
words.txt	2it	7	6-7	-
words.txt	2it	7	9-17	-
words.txt	2it	7	19-21	-
words.txt	2it	8	1-9	-
words.txt	2aw	1	1-5	c 1,0-1,13
words.txt	2aw	1	6-11	c 1,5-1,16
words.txt	2aw	1	12-16	c 1,11-2,5
words.txt	2aw	2	1-2	c 2,0-2,6
words.txt	2aw	2	3-5	c 2,2-2,6
words.txt	2aw	2	6	c 2,5-2,9
words.txt	2aw	2	7-9	c 2,6-2,10
words.txt	2aw	2	10	c 2,9-2,13
words.txt	2aw	2	11-13	c 2,10-3,4
words.txt	2aw	3	1	c 3,0-3,9
words.txt	2aw	3	2-4	c 3,1-3,9
words.txt	2aw	3	5-9	c 3,4-5,8
words.txt	2aw	4	1	c 4,0-6,3
words.txt	2aw	5	1-8	c 5,0-6,3
words.txt	2aw	5	9-11	c 5,8-7,6
words.txt	2aw	6	1-3	c 6,0-7,6
words.txt	2aw	7	1-4	c 7,0-7,11
words.txt	2aw	7	6-7	c 7,5-7,12
words.txt	2aw	7	9-11	c 7,5-7,12
words.txt	2aw	7	12	c 7,11-7,20
words.txt	2aw	7	13-17	c 7,12-7,21
words.txt	2aw	7	19	c 7,12-7,21
words.txt	2aw	7	20-21	c 7,19-8,1
words.txt	2aw	8	1	c 8,0-8,2
words.txt	2aw	8	2	c 8,1-8,3
words.txt	2aw	8	3	c 8,2-8,5
words.txt	2aw	8	4-5	c 8,3-8,8
words.txt	2aw	8	6	c 8,5-8,9
words.txt	2aw	8	7-9	-
words.txt	2aW	1	1-5	c 1,0-1,13
words.txt	2aW	1	6-11	c 1,5-1,16
words.txt	2aW	1	12-16	c 1,11-2,13
words.txt	2aW	2	1-2	c 2,0-3,4
words.txt	2aW	2	3-13	c 2,2-3,4
words.txt	2aW	3	1	c 3,0-3,9
words.txt	2aW	3	2-4	c 3,1-3,9
words.txt	2aW	3	5-9	c 3,4-5,8
words.txt	2aW	4	1	c 4,0-6,3
